State,Year,Month,ActivityLevel
Alabama,2015,11,1
Alabama,2015,12,1
Alabama,2014,11,1
Alabama,2014,12,9
Alabama,2015,1,9
Alabama,2015,2,6
Alabama,2015,3,9
Alabama,2015,4,1
Alabama,2015,5,1
Alabama,2015,6,1
Alabama,2015,7,1
Alabama,2015,8,1
Alabama,2015,9,1
Alabama,2015,10,1
Alabama,2013,11,3
Alabama,2013,12,10
Alabama,2014,1,10
Alabama,2014,2,8
Alabama,2014,3,1
Alabama,2014,3,1
Alabama,2014,5,1
Alabama,2014,5,1
Alabama,2014,6,1
Alabama,2014,8,1
Alabama,2014,8,1
Alabama,2014,9,1
Alabama,2012,11,1
Alabama,2012,12,10
Alabama,2013,1,10
Alabama,2013,2,7
Alabama,2013,3,4
Alabama,2013,3,2
Alabama,2013,5,1
Alabama,2013,6,1
Alabama,2013,6,1
Alabama,2013,8,1
Alabama,2013,8,1
Alabama,2013,9,1
Alabama,2011,11,3
Alabama,2011,12,6
Alabama,2012,1,5
Alabama,2012,2,10
Alabama,2012,3,10
Alabama,2012,3,5
Alabama,2012,5,6
Alabama,2012,6,2
Alabama,2012,6,1
Alabama,2012,8,1
Alabama,2012,9,1
Alabama,2012,9,1
Alabama,2010,11,1
Alabama,2010,12,8
Alabama,2011,1,10
Alabama,2011,2,10
Alabama,2011,3,10
Alabama,2011,4,1
Alabama,2011,5,1
Alabama,2011,6,1
Alabama,2011,7,1
Alabama,2011,8,1
Alabama,2011,9,1
Alabama,2011,10,1
Alabama,2009,9,10
Alabama,2009,10,10
Alabama,2009,11,10
Alabama,2009,12,6
Alabama,2010,1,2
Alabama,2010,2,5
Alabama,2010,3,6
Alabama,2010,4,1
Alabama,2010,5,1
Alabama,2010,6,1
Alabama,2010,7,1
Alabama,2010,8,1
Alabama,2010,9,1
Alabama,2010,10,1
Alabama,2009,1,1
Alabama,2009,2,3
Alabama,2009,3,5
Alabama,2009,4,1
Alabama,2009,5,1
Alabama,2009,6,1
